short_name,club_name,player_name,club_involved_name,fee_cleaned,league_name,year,age,position,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
B. Chilwell,Leicester City,Ben Chilwell,Chelsea,45.18,Premier League,2020,24.0,Defender,2376.0,1306.0,1070.0,England,27.0,15.0,12.0,3.0,1.0,2.0,3.0,1.0,2.0,0.0,0.0,10.0,5.0,5.0,24.0,15.0,9.0,3.0,0.0,0.23,0.11,0.11,0.07,0.17,792.0,0.91,99.0,88.0,792.0,792.0,0.11,144.0,126.0,29.0,7.0
F. Diabaté,Leicester City,Fousseni Diabaté,Trabzonspor,1.42,Premier League,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R. Brewster,Liverpool FC,Rhian Brewster,Sheff Utd,23.4,Premier League,2020,21.0,Forward,0.0,0.0,0.0,England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
D. Lovren,Liverpool FC,Dejan Lovren,Zenit S-Pb,10.8,Premier League,2020,31.0,Defender,777.0,450.0,327.0,Croatia,10.0,5.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,11.0,6.0,5.0,1.0,0.0,0.12,0.12,0.0,0.0,0.0,0.0,1.27,71.0,78.0,777.0,777.0,0.12,259.0,116.0,83.0,21.0
O. Ejaria,Liverpool FC,Ovie Ejaria,Reading,3.51,Premier League,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H. Wilson,Liverpool FC,Harry Wilson,Cardiff,1.17,Premier League,2020,24.0,Midfielder,1653.0,808.0,845.0,Wales,31.0,14.0,17.0,7.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,31.0,14.0,17.0,2.0,0.0,0.38,0.0,0.38,0.22,0.53,236.0,1.69,53.0,53.0,827.0,0.0,0.11,40.0,389.0,-1.0,2.0
L. Sané,Manchester City,Leroy Sané,Bayern Munich,40.5,Premier League,2020,25.0,Midfielder,11.0,11.0,0.0,Germany,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,16.0
N. Otamendi,Manchester City,Nicolás Otamendi,Benfica,13.5,Premier League,2020,33.0,Defender,1710.0,825.0,885.0,Argentina,24.0,12.0,12.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,3.0,18.0,5.0,13.0,3.0,0.0,0.11,0.0,0.11,0.22,0.0,855.0,0.95,95.0,71.0,570.0,0.0,0.16,140.0,318.0,35.0,10.0
T. Adarabioyo,Manchester City,Tosin Adarabioyo,Fulham,1.49,Premier League,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C. Smalling,Manchester United,Chris Smalling,AS Roma,13.5,Premier League,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
