club_name,player_name,club_involved_name,fee_cleaned,league_name,year,short_name
Manchester City,Bruno Zuculini,Hellas Verona,1.13,Premier League,2017,B. Zuculini
Manchester City,Jason Denayer,Galatasaray,0.45,Premier League,2017,J. Denayer
Liverpool FC,Mamadou Sakho,Crystal Palace,25.38,Premier League,2017,M. Sakho
Liverpool FC,Divock Origi,VfL Wolfsburg,5.85,Premier League,2017,D. Origi
Liverpool FC,Lucas Leiva,Lazio,5.13,Premier League,2017,L. Leiva
Liverpool FC,Kevin Stewart,Hull City,4.05,Premier League,2017,K. Stewart
Liverpool FC,Andre Wisdom,Derby,2.07,Premier League,2017,A. Wisdom
Arsenal FC,Alex Oxlade-Chamberlain,Liverpool,34.2,Premier League,2017,A. Oxlade-Chamberlain
Arsenal FC,Wojciech Szczesny,Juventus,12.6,Premier League,2017,W. Szczesny
Arsenal FC,Gabriel Paulista,Valencia,9.9,Premier League,2017,G. Paulista
Arsenal FC,Kieran Gibbs,West Brom,6.75,Premier League,2017,K. Gibbs
Manchester United,Adnan Januzaj,Real Sociedad,7.65,Premier League,2017,A. Januzaj
Manchester United,Andreas Pereira,Valencia,2.7,Premier League,2017,A. Pereira
Everton FC,Romelu Lukaku,Man Utd,76.23,Premier League,2017,R. Lukaku
Everton FC,Gerard Deulofeu,FC Barcelona,10.8,Premier League,2017,G. Deulofeu
Everton FC,Tom Cleverley,Watford,8.37,Premier League,2017,T. Cleverley
Everton FC,Gareth Barry,West Brom,0.99,Premier League,2017,G. Barry
Everton FC,Aiden McGeady,Sunderland,0.252,Premier League,2017,A. McGeady
Southampton FC,Jay Rodríguez,West Brom,12.33,Premier League,2017,J. Rodríguez
West Bromwich Albion,Craig Gardner,Birmingham,1.58,Premier League,2017,C. Gardner
West Bromwich Albion,Yuning Zhang,Werder Bremen,0.27,Premier League,2017,Y. Zhang
West Ham United,Havard Nordtveit,TSG Hoffenheim,7.2,Premier League,2017,H. Nordtveit
West Ham United,Ashley Fletcher,Middlesbrough,6.57,Premier League,2017,A. Fletcher
West Ham United,Darren Randolph,Middlesbrough,5.04,Premier League,2017,D. Randolph
West Ham United,Enner Valencia,Tigres UANL,4.95,Premier League,2017,E. Valencia
West Ham United,Sofiane Feghouli,Galatasaray,3.83,Premier League,2017,S. Feghouli
Leicester City,Danny Drinkwater,Chelsea,34.11,Premier League,2017,D. Drinkwater
